metric,previous_month,current_month,spearman_rank_correlation
betweenness,2024-09-01,2024-10-01,0.9401817883309146
betweenness,2024-10-01,2024-11-01,0.8790417946892309
betweenness,2024-11-01,2024-12-01,0.9149417301589258
pagerank,2020-01-01,2020-02-01,0.8065719393005163
pagerank,2020-02-01,2020-03-01,0.7702647389548187
pagerank,2020-03-01,2020-04-01,0.7431119990647225
pagerank,2020-04-01,2020-05-01,0.7265461578940067
pagerank,2020-05-01,2020-06-01,0.6727818275705991
pagerank,2020-06-01,2020-07-01,0.6397341549312955
pagerank,2020-07-01,2020-08-01,0.6990814255871675
pagerank,2020-08-01,2020-09-01,0.6409971809201247
pagerank,2020-09-01,2020-10-01,0.7894565580519977
pagerank,2020-10-01,2020-11-01,0.7424726061611936
pagerank,2020-11-01,2020-12-01,0.6608783062545878
pagerank,2020-12-01,2021-01-01,0.6757136363473412
pagerank,2021-01-01,2021-02-01,0.6188373684809794
pagerank,2021-02-01,2021-03-01,0.7531486017585195
pagerank,2021-03-01,2021-04-01,0.7667908291477497
pagerank,2021-04-01,2021-05-01,0.7638999995321527
pagerank,2021-05-01,2021-06-01,0.7376780645424335
pagerank,2021-06-01,2021-07-01,0.7551021851784054
pagerank,2021-07-01,2021-08-01,0.7267909339709134
pagerank,2021-08-01,2021-09-01,0.7226102399177741
pagerank,2021-09-01,2021-10-01,0.840864363955686
pagerank,2021-10-01,2021-11-01,0.7595548299469489
pagerank,2021-11-01,2021-12-01,0.703905613085211
pagerank,2021-12-01,2022-01-01,0.6928576592991796
pagerank,2022-01-01,2022-02-01,0.7519112897572663
pagerank,2022-02-01,2022-03-01,0.7572895535257063
pagerank,2022-03-01,2022-04-01,0.7709775376009818
pagerank,2022-04-01,2022-05-01,0.8038669797481557
pagerank,2022-05-01,2022-06-01,0.7747886076162899
pagerank,2022-06-01,2022-07-01,0.7641977259667916
pagerank,2022-07-01,2022-08-01,0.7463573970883238
pagerank,2022-08-01,2022-09-01,0.7427838625005964
pagerank,2022-09-01,2022-10-01,0.7348593861101013
pagerank,2022-10-01,2022-11-01,0.7518580057202533
pagerank,2022-11-01,2022-12-01,0.7636529618491393
pagerank,2022-12-01,2023-01-01,0.7891684948568158
pagerank,2023-01-01,2023-02-01,0.7076285343399991
pagerank,2023-02-01,2023-03-01,0.7258624908781367
pagerank,2023-03-01,2023-04-01,0.6710453802004673
pagerank,2023-04-01,2023-05-01,0.6870293578476431
pagerank,2023-05-01,2023-06-01,0.8043155956059337
pagerank,2023-06-01,2023-07-01,0.6729985428226154
pagerank,2023-07-01,2023-08-01,0.6816800150933378
pagerank,2023-08-01,2023-09-01,0.683415118276888
pagerank,2023-09-01,2023-10-01,0.7215632952234822
pagerank,2023-10-01,2023-11-01,0.72725515129032
pagerank,2023-11-01,2023-12-01,0.685759733697496
pagerank,2023-12-01,2024-01-01,0.7082594877307412
pagerank,2024-01-01,2024-02-01,0.6947568088367851
pagerank,2024-02-01,2024-03-01,0.7827140188402197
pagerank,2024-03-01,2024-04-01,0.7191553963165194
pagerank,2024-04-01,2024-05-01,0.5763985754368026
pagerank,2024-05-01,2024-06-01,0.5934917756515526
pagerank,2024-06-01,2024-07-01,0.5388850710427335
pagerank,2024-07-01,2024-08-01,0.6272067531166521
pagerank,2024-08-01,2024-09-01,0.5843455722315479
pagerank,2024-09-01,2024-10-01,0.6614673556649464
pagerank,2024-10-01,2024-11-01,0.597189066043609
pagerank,2024-11-01,2024-12-01,0.630502634770428
eigenvector,2020-01-01,2020-02-01,
eigenvector,2020-02-01,2020-03-01,0.7847646577285723
eigenvector,2020-03-01,2020-04-01,0.7757956720459592
eigenvector,2020-04-01,2020-05-01,0.749698243499434
eigenvector,2020-05-01,2020-06-01,0.6991957478756451
eigenvector,2020-06-01,2020-07-01,0.6776438519789304
eigenvector,2020-07-01,2020-08-01,0.6913080765132316
eigenvector,2020-08-01,2020-09-01,0.6394648823348545
eigenvector,2020-09-01,2020-10-01,0.7148542029875071
eigenvector,2020-10-01,2020-11-01,0.8014822098635812
eigenvector,2020-11-01,2020-12-01,
eigenvector,2020-12-01,2021-01-01,
eigenvector,2021-01-01,2021-02-01,
eigenvector,2021-02-01,2021-03-01,
eigenvector,2021-03-01,2021-04-01,
eigenvector,2021-04-01,2021-05-01,
eigenvector,2021-05-01,2021-06-01,0.6988554145154763
eigenvector,2021-06-01,2021-07-01,0.765783256004445
eigenvector,2021-07-01,2021-08-01,0.7651740308717263
eigenvector,2021-08-01,2021-09-01,0.7113469052505499
eigenvector,2021-09-01,2021-10-01,0.826823056078335
eigenvector,2021-10-01,2021-11-01,0.7661994156958202
eigenvector,2021-11-01,2021-12-01,
eigenvector,2021-12-01,2022-01-01,
eigenvector,2022-01-01,2022-02-01,
eigenvector,2022-02-01,2022-03-01,
eigenvector,2022-03-01,2022-04-01,0.7814147660543813
eigenvector,2022-04-01,2022-05-01,0.8383741517569512
eigenvector,2022-05-01,2022-06-01,0.7667828031946118
eigenvector,2022-06-01,2022-07-01,0.7654808636573885
eigenvector,2022-07-01,2022-08-01,0.7835939950258567
eigenvector,2022-08-01,2022-09-01,0.7695820844416442
eigenvector,2022-09-01,2022-10-01,0.7704999624073586
eigenvector,2022-10-01,2022-11-01,0.7793548205957463
eigenvector,2022-11-01,2022-12-01,0.7808613921747516
eigenvector,2022-12-01,2023-01-01,0.7939180219042169
eigenvector,2023-01-01,2023-02-01,0.6956204523504118
eigenvector,2023-02-01,2023-03-01,0.7170995047900812
eigenvector,2023-03-01,2023-04-01,0.733773878269674
eigenvector,2023-04-01,2023-05-01,0.655107882815057
eigenvector,2023-05-01,2023-06-01,0.7467878994068071
eigenvector,2023-06-01,2023-07-01,0.6548278267248697
eigenvector,2023-07-01,2023-08-01,0.6789854369327503
eigenvector,2023-08-01,2023-09-01,0.683811509060565
eigenvector,2023-09-01,2023-10-01,0.6868338028500248
eigenvector,2023-10-01,2023-11-01,0.7443424851085599
eigenvector,2023-11-01,2023-12-01,0.7220089577336037
eigenvector,2023-12-01,2024-01-01,0.7284637962075912
eigenvector,2024-01-01,2024-02-01,0.7215414846082172
eigenvector,2024-02-01,2024-03-01,0.757137493327825
eigenvector,2024-03-01,2024-04-01,0.690458737039349
eigenvector,2024-04-01,2024-05-01,0.6734799583649334
eigenvector,2024-05-01,2024-06-01,0.6983193340887559
eigenvector,2024-06-01,2024-07-01,0.5891788836693994
eigenvector,2024-07-01,2024-08-01,0.6156170278562724
eigenvector,2024-08-01,2024-09-01,0.6182253753439861
eigenvector,2024-09-01,2024-10-01,0.6943782131516194
eigenvector,2024-10-01,2024-11-01,0.6487247209722072
eigenvector,2024-11-01,2024-12-01,0.7009007051824104
share_monthly_network_flow,2020-01-01,2020-02-01,0.8528035945559911
share_monthly_network_flow,2020-02-01,2020-03-01,0.8229262851196063
share_monthly_network_flow,2020-03-01,2020-04-01,0.7922247033661738
share_monthly_network_flow,2020-04-01,2020-05-01,0.7833127932838889
share_monthly_network_flow,2020-05-01,2020-06-01,0.7440924631200488
share_monthly_network_flow,2020-06-01,2020-07-01,0.7069820636374349
share_monthly_network_flow,2020-07-01,2020-08-01,0.7433948883342556
share_monthly_network_flow,2020-08-01,2020-09-01,0.7166957165791449
share_monthly_network_flow,2020-09-01,2020-10-01,0.8036710595298611
share_monthly_network_flow,2020-10-01,2020-11-01,0.8124282818370305
share_monthly_network_flow,2020-11-01,2020-12-01,0.7533630789647653
share_monthly_network_flow,2020-12-01,2021-01-01,0.7809612954632945
share_monthly_network_flow,2021-01-01,2021-02-01,0.7078009672796338
