node_id,node_type,metric,months,active_months,mean,std,coefficient_of_variation,min,max,lag1_autocorrelation,mean_absolute_monthly_change
LNGN0361,terminal,share_monthly_network_flow,60,1,4.109773247041674e-05,0.0003183416668496237,7.745966692414834,0.0,0.0024658639482250046,-0.01724137931034478,8.358860841440694e-05
LNGN0362,terminal,node_throughput,60,9,24946.666666666668,60007.74940539402,2.4054415849302786,0.0,180000.0,0.21072857506687695,34644.06779661017
LNGN0362,terminal,total_voyages,60,9,0.15,0.3600847357902755,2.4005649052685034,0.0,1.0,0.21333333333333393,0.2033898305084746
LNGN0362,terminal,total_route_exposure,60,9,0.15,0.3600847357902755,2.4005649052685034,0.0,1.0,0.21333333333333393,0.2033898305084746
LNGN0362,terminal,total_degree,60,9,0.15,0.3600847357902755,2.4005649052685034,0.0,1.0,0.21333333333333393,0.2033898305084746
LNGN0362,terminal,total_strength,60,9,24946.666666666668,60007.74940539402,2.4054415849302786,0.0,180000.0,0.21072857506687695,34644.06779661017
LNGN0362,terminal,betweenness,60,9,0.0,0.0,,0.0,0.0,,0.0
LNGN0362,terminal,pagerank,60,9,0.0016049830337904099,0.0039645901063225875,2.470175710804624,0.0,0.013724674667189412,0.14401502398624857,0.002424514033500898
LNGN0362,terminal,eigenvector,60,9,1.1211130107553053e-05,6.994575615855287e-05,6.238956776661587,0.0,0.0005302321352878587,0.19759022742444968,1.86673160014304e-05
LNGN0362,terminal,share_monthly_network_flow,60,9,0.00033161312652557596,0.00082302316945389,2.4818775362633714,0.0,0.0030910778493078704,0.36672076096074047,0.0004246571479971004
LNGN0363,terminal,node_throughput,60,38,177833.38333333333,177399.67882674877,0.9975611749692035,0.0,567590.0,0.14779212100337752,171354.81355932204
LNGN0363,terminal,total_voyages,60,38,1.0,1.0084389681792214,1.0084389681792214,0.0,3.0,0.16666666666666669,0.9491525423728814
LNGN0363,terminal,total_route_exposure,60,38,0.9,0.8576673133208372,0.9529636814675969,0.0,3.0,0.19335937499999997,0.7796610169491526
LNGN0363,terminal,total_degree,60,38,0.8,0.7083042533080239,0.8853803166350299,0.0,2.0,0.18807339449541277,0.6440677966101694
LNGN0363,terminal,total_strength,60,38,177833.38333333333,177399.67882674877,0.9975611749692035,0.0,567590.0,0.14779212100337752,171354.81355932204
LNGN0363,terminal,betweenness,60,38,0.0,0.0,,0.0,0.0,,0.0
LNGN0363,terminal,pagerank,60,38,0.006027083280673763,0.004957255759291764,0.8224966419806292,0.0,0.014786269279761975,0.25165964125093954,0.004328394474021079
LNGN0363,terminal,eigenvector,60,38,0.0013645063042539611,0.0024882591220726697,1.8235600043146127,0.0,0.012159053065580653,0.06918020666124847,0.0018817829068217557
LNGN0363,terminal,share_monthly_network_flow,60,38,0.0021006606302946965,0.002212502146216065,1.0532411158225394,0.0,0.009800485911255357,0.28986463426416115,0.0019267175864168921
LNGN0364,terminal,node_throughput,60,1,2900.0,22463.30340800302,7.745966692414834,0.0,174000.0,-0.01724137931034482,5898.3050847457625
LNGN0364,terminal,total_voyages,60,1,0.016666666666666666,0.12909944487358058,7.745966692414835,0.0,1.0,-0.017241379310344834,0.03389830508474576
