node_id,node_type,metric,mean_rank,median_rank,best_rank,worst_rank,rank_std,mean_percentile_rank,top_5pct_months,top_10pct_months,top_20pct_months,months_observed,top_5pct_share,top_10pct_share,top_20pct_share
LNGN0425,terminal,total_strength,95.66666666666667,94.0,73.0,127.0,13.532968740740264,0.2996880570409982,0,0,0,60,0.0,0.0,0.0
LNGN0425,terminal,total_voyages,92.0,90.5,64.0,127.0,15.75447205813348,0.30525846702317294,0,0,0,60,0.0,0.0,0.0
LNGN0426,terminal,betweenness,21.533333333333335,22.0,18.0,24.0,1.1118265116871402,0.44777183600713016,0,2,60,60,0.0,0.03333333333333333,1.0
LNGN0426,terminal,eigenvector,62.666666666666664,72.0,1.0,110.0,29.90984570432447,0.5729500891265596,7,8,10,60,0.11666666666666667,0.13333333333333333,0.16666666666666666
LNGN0426,terminal,node_throughput,62.05,56.5,20.0,114.0,21.03703352806704,0.620855614973262,0,0,7,60,0.0,0.0,0.11666666666666667
LNGN0426,terminal,pagerank,38.78333333333333,28.5,4.0,114.0,28.921923926596225,0.7467023172905526,4,15,43,60,0.06666666666666667,0.25,0.7166666666666667
LNGN0426,terminal,share_monthly_network_flow,62.05,56.5,20.0,114.0,21.03703352806704,0.620855614973262,0,0,7,60,0.0,0.0,0.11666666666666667
LNGN0426,terminal,total_degree,55.6,50.0,24.0,114.0,21.9608279921704,0.5828877005347594,0,0,14,60,0.0,0.0,0.23333333333333334
LNGN0426,terminal,total_route_exposure,57.38333333333333,50.0,29.0,114.0,21.786398856654646,0.5976827094474153,0,0,12,60,0.0,0.0,0.2
LNGN0426,terminal,total_strength,63.483333333333334,58.5,25.0,114.0,20.077385597467078,0.6132798573975045,0,0,6,60,0.0,0.0,0.1
LNGN0426,terminal,total_voyages,60.68333333333333,54.5,24.0,114.0,20.58590242207209,0.5899286987522282,0,0,5,60,0.0,0.0,0.08333333333333333
LNGN0427,terminal,betweenness,21.533333333333335,22.0,18.0,24.0,1.1118265116871402,0.44777183600713016,0,2,60,60,0.0,0.03333333333333333,1.0
LNGN0427,terminal,eigenvector,84.75,93.0,1.0,126.0,33.46165272950262,0.407174688057041,7,7,7,60,0.11666666666666667,0.11666666666666667,0.11666666666666667
LNGN0427,terminal,node_throughput,95.76666666666667,93.5,71.0,125.0,13.260578337806663,0.44166666666666665,0,0,0,60,0.0,0.0,0.0
LNGN0427,terminal,pagerank,61.05,61.0,24.0,118.0,23.1417335242733,0.6281194295900179,0,0,11,60,0.0,0.0,0.18333333333333332
LNGN0427,terminal,share_monthly_network_flow,95.76666666666667,93.5,71.0,125.0,13.260578337806663,0.44166666666666665,0,0,0,60,0.0,0.0,0.0
LNGN0427,terminal,total_degree,63.78333333333333,59.5,38.0,118.0,17.82313452493094,0.5257575757575758,0,0,1,60,0.0,0.0,0.016666666666666666
LNGN0427,terminal,total_route_exposure,69.83333333333333,68.0,40.0,118.0,16.575627059914765,0.5095811051693404,0,0,0,60,0.0,0.0,0.0
LNGN0427,terminal,total_strength,95.76666666666667,93.5,71.0,125.0,13.260578337806663,0.44166666666666665,0,0,0,60,0.0,0.0,0.0
LNGN0427,terminal,total_voyages,69.48333333333333,66.5,40.0,118.0,16.801424139261076,0.5363636363636364,0,0,0,60,0.0,0.0,0.0
LNGN0428,terminal,betweenness,21.533333333333335,22.0,18.0,24.0,1.1118265116871402,0.44777183600713016,0,2,60,60,0.0,0.03333333333333333,1.0
LNGN0428,terminal,eigenvector,65.36666666666666,70.5,1.0,127.0,36.115148550189566,0.47967914438502673,7,8,13,60,0.11666666666666667,0.13333333333333333,0.21666666666666667
LNGN0428,terminal,node_throughput,82.83333333333333,83.0,35.0,127.0,20.88805243346724,0.4285650623885918,0,0,1,60,0.0,0.0,0.016666666666666666
LNGN0428,terminal,pagerank,78.45,77.5,14.0,127.0,24.96602776520288,0.45258467023172905,0,1,2,60,0.0,0.016666666666666666,0.03333333333333333
LNGN0428,terminal,share_monthly_network_flow,82.83333333333333,83.0,35.0,127.0,20.88805243346724,0.4285650623885918,0,0,1,60,0.0,0.0,0.016666666666666666
LNGN0428,terminal,total_degree,74.83333333333333,77.0,22.0,127.0,27.731867899136205,0.4288770053475936,0,0,6,60,0.0,0.0,0.1
LNGN0428,terminal,total_route_exposure,76.3,77.0,23.0,127.0,26.74632875171685,0.43337789661319076,0,0,3,60,0.0,0.0,0.05
LNGN0428,terminal,total_strength,83.5,83.5,39.0,127.0,20.101016080229055,0.42508912655971476,0,0,0,60,0.0,0.0,0.0
