metric,previous_month,current_month,spearman_rank_persistence
effective_counterparties_terminal,2021-06-01,2021-07-01,0.479973684629
effective_counterparties_terminal,2021-07-01,2021-08-01,0.698513126566
effective_counterparties_terminal,2021-08-01,2021-09-01,0.548612581906
effective_counterparties_terminal,2021-09-01,2021-10-01,0.641935580885
effective_counterparties_terminal,2021-10-01,2021-11-01,0.594146665538
effective_counterparties_terminal,2021-11-01,2021-12-01,0.745213272362
effective_counterparties_terminal,2021-12-01,2022-01-01,0.786814462334
effective_counterparties_terminal,2022-01-01,2022-02-01,0.600146781508
effective_counterparties_terminal,2022-02-01,2022-03-01,0.636837435384
effective_counterparties_terminal,2022-03-01,2022-04-01,0.683333369701
effective_counterparties_terminal,2022-04-01,2022-05-01,0.723008462661
effective_counterparties_terminal,2022-05-01,2022-06-01,0.604374335717
effective_counterparties_terminal,2022-06-01,2022-07-01,0.725773260772
effective_counterparties_terminal,2022-07-01,2022-08-01,0.782317538845
effective_counterparties_terminal,2022-08-01,2022-09-01,0.574683308962
effective_counterparties_terminal,2022-09-01,2022-10-01,0.737868788232
effective_counterparties_terminal,2022-10-01,2022-11-01,0.632480976184
effective_counterparties_terminal,2022-11-01,2022-12-01,0.638835563447
effective_counterparties_terminal,2022-12-01,2023-01-01,0.730690467512
effective_counterparties_terminal,2023-01-01,2023-02-01,0.709406217771
effective_counterparties_terminal,2023-02-01,2023-03-01,0.530460708649
effective_counterparties_terminal,2023-03-01,2023-04-01,0.543084450865
effective_counterparties_terminal,2023-04-01,2023-05-01,0.597728486561
effective_counterparties_terminal,2023-05-01,2023-06-01,0.631336990001
effective_counterparties_terminal,2023-06-01,2023-07-01,0.634998419301
effective_counterparties_terminal,2023-07-01,2023-08-01,0.608995323404
effective_counterparties_terminal,2023-08-01,2023-09-01,0.805527001237
effective_counterparties_terminal,2023-09-01,2023-10-01,0.748863372991
effective_counterparties_terminal,2023-10-01,2023-11-01,0.691141695661
effective_counterparties_terminal,2023-11-01,2023-12-01,0.710335560176
effective_counterparties_terminal,2023-12-01,2024-01-01,0.726902906957
effective_counterparties_terminal,2024-01-01,2024-02-01,0.573548975074
effective_counterparties_terminal,2024-02-01,2024-03-01,0.659178270913
effective_counterparties_terminal,2024-03-01,2024-04-01,0.722967941647
effective_counterparties_terminal,2024-04-01,2024-05-01,0.468633209124
effective_counterparties_terminal,2024-05-01,2024-06-01,0.451470435744
effective_counterparties_terminal,2024-06-01,2024-07-01,0.324132150735
effective_counterparties_terminal,2024-07-01,2024-08-01,0.452113437156
effective_counterparties_terminal,2024-08-01,2024-09-01,0.55342184155
effective_counterparties_terminal,2024-09-01,2024-10-01,0.470404283642
effective_counterparties_terminal,2024-10-01,2024-11-01,0.348330966164
effective_counterparties_terminal,2024-11-01,2024-12-01,0.636237968728
effective_counterparties_country,2020-01-01,2020-02-01,0.632735885638
effective_counterparties_country,2020-02-01,2020-03-01,0.70707847218
effective_counterparties_country,2020-03-01,2020-04-01,0.667617107943
effective_counterparties_country,2020-04-01,2020-05-01,0.356232124891
effective_counterparties_country,2020-05-01,2020-06-01,0.580381749851
effective_counterparties_country,2020-06-01,2020-07-01,0.544910630135
effective_counterparties_country,2020-07-01,2020-08-01,0.617089803549
effective_counterparties_country,2020-08-01,2020-09-01,0.239603690779
effective_counterparties_country,2020-09-01,2020-10-01,0.365834134903
effective_counterparties_country,2020-10-01,2020-11-01,0.501941340475
effective_counterparties_country,2020-11-01,2020-12-01,0.65488667885
effective_counterparties_country,2020-12-01,2021-01-01,0.627950191304
effective_counterparties_country,2021-01-01,2021-02-01,0.689650991822
effective_counterparties_country,2021-02-01,2021-03-01,0.512506384183
effective_counterparties_country,2021-03-01,2021-04-01,0.526993276719
effective_counterparties_country,2021-04-01,2021-05-01,0.561702576641
effective_counterparties_country,2021-05-01,2021-06-01,0.497136364581
effective_counterparties_country,2021-06-01,2021-07-01,0.428449860275
effective_counterparties_country,2021-07-01,2021-08-01,0.539060030634
effective_counterparties_country,2021-08-01,2021-09-01,0.540268947841
effective_counterparties_country,2021-09-01,2021-10-01,0.548854436014
effective_counterparties_country,2021-10-01,2021-11-01,0.589095752469
effective_counterparties_country,2021-11-01,2021-12-01,0.586822995979
effective_counterparties_country,2021-12-01,2022-01-01,0.586242737331
effective_counterparties_country,2022-01-01,2022-02-01,0.527630664391
effective_counterparties_country,2022-02-01,2022-03-01,0.628499093828
effective_counterparties_country,2022-03-01,2022-04-01,0.512800834813
effective_counterparties_country,2022-04-01,2022-05-01,0.61783166822
effective_counterparties_country,2022-05-01,2022-06-01,0.592641200941
effective_counterparties_country,2022-06-01,2022-07-01,0.536832202207
effective_counterparties_country,2022-07-01,2022-08-01,0.661716466957
effective_counterparties_country,2022-08-01,2022-09-01,0.522553597414
effective_counterparties_country,2022-09-01,2022-10-01,0.654712358747
effective_counterparties_country,2022-10-01,2022-11-01,0.544407547046
effective_counterparties_country,2022-11-01,2022-12-01,0.547320436591
effective_counterparties_country,2022-12-01,2023-01-01,0.582144737172
effective_counterparties_country,2023-01-01,2023-02-01,0.601575881002
effective_counterparties_country,2023-02-01,2023-03-01,0.498188235786
effective_counterparties_country,2023-03-01,2023-04-01,0.464402289078
effective_counterparties_country,2023-04-01,2023-05-01,0.573635333739
effective_counterparties_country,2023-05-01,2023-06-01,0.592674058263
effective_counterparties_country,2023-06-01,2023-07-01,0.682487820219
effective_counterparties_country,2023-07-01,2023-08-01,0.491701556629
effective_counterparties_country,2023-08-01,2023-09-01,0.771488795006
effective_counterparties_country,2023-09-01,2023-10-01,0.631963487155
effective_counterparties_country,2023-10-01,2023-11-01,0.616842442115
effective_counterparties_country,2023-11-01,2023-12-01,0.667733725673
effective_counterparties_country,2023-12-01,2024-01-01,0.68765215783
effective_counterparties_country,2024-01-01,2024-02-01,0.598300556316
effective_counterparties_country,2024-02-01,2024-03-01,0.638339874998
effective_counterparties_country,2024-03-01,2024-04-01,0.68262012937
effective_counterparties_country,2024-04-01,2024-05-01,0.495722587542
effective_counterparties_country,2024-05-01,2024-06-01,0.5335000603
effective_counterparties_country,2024-06-01,2024-07-01,0.287267257967
effective_counterparties_country,2024-07-01,2024-08-01,0.353876799088
effective_counterparties_country,2024-08-01,2024-09-01,0.470693548732
effective_counterparties_country,2024-09-01,2024-10-01,0.319318684333
effective_counterparties_country,2024-10-01,2024-11-01,0.40698683145
effective_counterparties_country,2024-11-01,2024-12-01,0.608742621051
max_dependence_generated,2020-01-01,2020-02-01,-0.199903184532
max_dependence_generated,2020-02-01,2020-03-01,0.084169761908
max_dependence_generated,2020-03-01,2020-04-01,0.622262773723
max_dependence_generated,2020-04-01,2020-05-01,-0.210752146679
max_dependence_generated,2020-05-01,2020-06-01,0.18275862069
max_dependence_generated,2020-06-01,2020-07-01,0.565395552819
max_dependence_generated,2020-07-01,2020-08-01,0.270021096222
max_dependence_generated,2020-08-01,2020-09-01,0.19315403423
max_dependence_generated,2020-09-01,2020-10-01,-0.15306122449
max_dependence_generated,2020-10-01,2020-11-01,0.731925054711
max_dependence_generated,2020-11-01,2020-12-01,0.201435425117
max_dependence_generated,2020-12-01,2021-01-01,0.500379196741
max_dependence_generated,2021-01-01,2021-02-01,0.45128212982
max_dependence_generated,2021-02-01,2021-03-01,0.418367346939
max_dependence_generated,2021-03-01,2021-04-01,0.0610681576175
max_dependence_generated,2021-04-01,2021-05-01,0.789473684211
max_dependence_generated,2021-05-01,2021-06-01,0.639240506329
max_dependence_generated,2021-06-01,2021-07-01,0.359925045921
max_dependence_generated,2021-07-01,2021-08-01,0.442885207122
max_dependence_generated,2021-08-01,2021-09-01,0.211619017802
max_dependence_generated,2021-09-01,2021-10-01,0.669620253165
max_dependence_generated,2021-10-01,2021-11-01,0.297130415875
max_dependence_generated,2021-11-01,2021-12-01,0.135295083233
max_dependence_generated,2021-12-01,2022-01-01,0.501280335381
max_dependence_generated,2022-01-01,2022-02-01,0.521721380962
max_dependence_generated,2022-02-01,2022-03-01,0.234958244213
max_dependence_generated,2022-03-01,2022-04-01,0.168495888667
max_dependence_generated,2022-04-01,2022-05-01,0.339840032738
max_dependence_generated,2022-05-01,2022-06-01,0.199722374705
max_dependence_generated,2022-06-01,2022-07-01,0.457286357285
max_dependence_generated,2022-07-01,2022-08-01,0.182574185835
max_dependence_generated,2022-08-01,2022-09-01,0.337203343226
max_dependence_generated,2022-09-01,2022-10-01,0.333489434751
max_dependence_generated,2022-10-01,2022-11-01,0.204588910134
max_dependence_generated,2022-11-01,2022-12-01,0.21191445922
max_dependence_generated,2022-12-01,2023-01-01,0.265871905907
max_dependence_generated,2023-01-01,2023-02-01,0.509859439275
max_dependence_generated,2023-02-01,2023-03-01,0.244791557993
max_dependence_generated,2023-03-01,2023-04-01,0.210931470595
max_dependence_generated,2023-04-01,2023-05-01,0.233553399606
max_dependence_generated,2023-05-01,2023-06-01,0.467434126276
max_dependence_generated,2023-06-01,2023-07-01,0.274691358025
max_dependence_generated,2023-07-01,2023-08-01,0.2617671346
max_dependence_generated,2023-08-01,2023-09-01,-0.00926772587581
max_dependence_generated,2023-09-01,2023-10-01,0.268312346476
max_dependence_generated,2023-10-01,2023-11-01,0.58587660175
max_dependence_generated,2023-11-01,2023-12-01,0.339607585667
max_dependence_generated,2023-12-01,2024-01-01,0.43544952172
